breeding,score,generation
1point,5026.606741573034,0
1point,5026.606741573034,1
1point,5026.606741573034,2
1point,5026.606741573034,3
1point,5013.247191011236,4
1point,5030.685393258427,5
1point,5183.483146067416,6
1point,5279.966292134832,7
1point,5481.3258426966295,8
1point,5353.966292134832,9
1point,5398.404494382023,10
1point,5353.966292134832,11
1point,5353.966292134832,12
1point,5411.123595505618,13
1point,5595.483146067416,14
1point,5740.123595505618,15
1point,5755.404494382023,16
1point,5890.76404494382,17
1point,5890.76404494382,18
1point,5890.76404494382,19
1point,5818.483146067416,20
1point,5818.483146067416,21
1point,5818.483146067416,22
1point,5818.483146067416,23
1point,5818.483146067416,24
1point,5802.842696629214,25
1point,5802.842696629214,26
1point,5802.842696629214,27
1point,6027.123595505618,28
1point,6020.123595505618,29
1point,6062.842696629214,30
1point,6062.842696629214,31
1point,6062.842696629214,32
1point,6062.842696629214,33
1point,6062.842696629214,34
1point,6062.842696629214,35
1point,6062.842696629214,36
1point,6026.483146067416,37
1point,6026.483146067416,38
1point,6026.483146067416,39
1point,6026.483146067416,40
1point,6015.921348314607,41
1point,6015.921348314607,42
1point,5940.202247191011,43
1point,6066.123595505618,44
1point,5927.842696629214,45
1point,6139.404494382023,46
1point,6245.202247191011,47
1point,6015.202247191011,48
1point,6055.842696629214,49
1point,6055.842696629214,50
1point,6034.123595505618,51
1point,6039.483146067416,52
1point,6139.404494382023,53
1point,6217.202247191011,54
1point,6217.202247191011,55
1point,6217.202247191011,56
1point,6118.842696629214,57
1point,6115.202247191011,58
1point,6109.921348314607,59
1point,6195.202247191011,60
1point,6195.202247191011,61
1point,6169.842696629214,62
1point,6185.842696629214,63
1point,6275.842696629214,64
1point,6275.842696629214,65
1point,6152.202247191011,66
1point,6152.202247191011,67
1point,6174.921348314607,68
1point,6226.483146067416,69
1point,6316.202247191011,70
1point,6316.202247191011,71
1point,6316.202247191011,72
1point,6316.202247191011,73
1point,6316.202247191011,74
1point,6316.202247191011,75
1point,6316.202247191011,76
1point,6316.202247191011,77
1point,6316.202247191011,78
1point,6366.123595505618,79
1point,6366.123595505618,80
1point,6366.123595505618,81
1point,6366.123595505618,82
1point,6366.123595505618,83
1point,6350.202247191011,84
1point,6356.921348314607,85
1point,6430.2808988764045,86
1point,6430.2808988764045,87
1point,6430.2808988764045,88
1point,6430.2808988764045,89
1point,6430.2808988764045,90
1point,6472.921348314607,91
1point,6506.921348314607,92
1point,6506.921348314607,93
1point,6472.921348314607,94
1point,6472.921348314607,95
1point,6482.921348314607,96
1point,6506.921348314607,97
1point,6514.2808988764045,98
1point,6506.921348314607,99
1point,6511.921348314607,100
1point,6511.921348314607,101
1point,6540.2808988764045,102
1point,6573.2808988764045,103
1point,6591.2808988764045,104
1point,6591.2808988764045,105
1point,6611.2808988764045,106
1point,6611.2808988764045,107
1point,6611.2808988764045,108
1point,6611.2808988764045,109
1point,6612.2808988764045,110
1point,6626.2808988764045,111
1point,6632.2808988764045,112
1point,6632.2808988764045,113
1point,6632.2808988764045,114
1point,6632.2808988764045,115
1point,6632.2808988764045,116
1point,6632.2808988764045,117
1point,6638.2808988764045,118
1point,6638.2808988764045,119
1point,6638.2808988764045,120
1point,6638.2808988764045,121
1point,6651.2808988764045,122
1point,6664.2808988764045,123
1point,6664.2808988764045,124
1point,6687.640449438202,125
1point,6687.640449438202,126
1point,6687.640449438202,127
1point,6687.640449438202,128
1point,6687.640449438202,129
1point,6687.640449438202,130
1point,6687.640449438202,131
1point,6687.640449438202,132
1point,6690.640449438202,133
1point,6690.640449438202,134
1point,6690.640449438202,135
1point,6690.640449438202,136
1point,6690.640449438202,137
1point,6690.640449438202,138
1point,6705.640449438202,139
1point,6705.640449438202,140
1point,6705.640449438202,141
1point,6705.640449438202,142
1point,6705.640449438202,143
1point,6711.640449438202,144
1point,6716.640449438202,145
1point,6716.640449438202,146
1point,6716.640449438202,147
1point,6724.640449438202,148
1point,6724.640449438202,149
1point,6724.640449438202,150
1point,6724.640449438202,151
1point,6724.640449438202,152
1point,6724.640449438202,153
1point,6724.640449438202,154
1point,6724.640449438202,155
1point,6724.640449438202,156
1point,6724.640449438202,157
1point,6724.640449438202,158
1point,6724.640449438202,159
1point,6724.640449438202,160
1point,6733.640449438202,161
1point,6749.640449438202,162
1point,6749.640449438202,163
1point,6749.640449438202,164
1point,6749.640449438202,165
1point,6749.640449438202,166
1point,6749.640449438202,167
1point,6749.640449438202,168
1point,6749.640449438202,169
1point,6749.640449438202,170
1point,6749.640449438202,171
1point,6754.640449438202,172
1point,6768.640449438202,173
1point,6768.640449438202,174
1point,6768.640449438202,175
1point,6768.640449438202,176
1point,6768.640449438202,177
1point,6768.640449438202,178
1point,6840.640449438202,179
1point,6840.640449438202,180
1point,6840.640449438202,181
1point,6840.640449438202,182
1point,6840.640449438202,183
1point,6840.640449438202,184
1point,6840.640449438202,185
1point,6840.640449438202,186
1point,6840.640449438202,187
1point,6840.640449438202,188
1point,6850.640449438202,189
1point,6850.640449438202,190
1point,6850.640449438202,191
1point,6850.640449438202,192
1point,6840.640449438202,193
1point,6840.640449438202,194
1point,6840.640449438202,195
1point,6840.640449438202,196
1point,6840.640449438202,197
1point,6840.640449438202,198
1point,6840.640449438202,199
2point,4680.685393258427,0
2point,4680.685393258427,1
2point,4885.089887640449,2
2point,4934.606741573034,3
2point,5133.52808988764,4
2point,5005.168539325843,5
2point,5117.52808988764,6
2point,5117.52808988764,7
2point,5297.887640449438,8
2point,5360.887640449438,9
2point,5360.887640449438,10
2point,5269.247191011236,11
2point,5320.52808988764,12
2point,5320.52808988764,13
2point,5529.3258426966295,14
2point,5524.3258426966295,15
2point,5577.168539325843,16
2point,5577.168539325843,17
2point,5589.168539325843,18
2point,5604.247191011236,19
2point,5621.247191011236,20
2point,5604.247191011236,21
2point,5604.247191011236,22
2point,5751.3258426966295,23
2point,5642.247191011236,24
2point,5769.404494382023,25
2point,5719.966292134832,26
2point,5746.606741573034,27
2point,5719.966292134832,28
2point,5719.966292134832,29
2point,5745.483146067416,30
2point,5781.606741573034,31
2point,5890.966292134832,32
2point,5890.966292134832,33
2point,5890.966292134832,34
2point,5961.76404494382,35
2point,5961.76404494382,36
2point,5961.76404494382,37
2point,5961.76404494382,38
2point,5961.76404494382,39
2point,5961.76404494382,40
2point,5961.76404494382,41
2point,5961.76404494382,42
2point,5961.76404494382,43
2point,5990.561797752809,44
2point,5990.561797752809,45
2point,5990.561797752809,46
2point,5990.561797752809,47
2point,6001.202247191011,48
2point,6001.202247191011,49
2point,6001.202247191011,50
2point,5949.685393258427,51
2point,5967.966292134832,52
2point,6080.044943820225,53
2point,6080.044943820225,54
2point,6080.044943820225,55
2point,6198.966292134832,56
2point,6198.966292134832,57
2point,6198.966292134832,58
2point,6198.966292134832,59
2point,6198.966292134832,60
2point,6198.966292134832,61
2point,5923.685393258427,62
2point,5923.685393258427,63
2point,5894.685393258427,64
2point,5894.685393258427,65
2point,5835.685393258427,66
2point,6021.247191011236,67
2point,6021.247191011236,68
2point,6013.404494382023,69
2point,6185.76404494382,70
2point,6046.3258426966295,71
2point,6046.3258426966295,72
2point,6046.3258426966295,73
2point,6046.3258426966295,74
2point,5826.247191011236,75
2point,5901.966292134832,76
2point,6006.044943820225,77
2point,6006.044943820225,78
2point,6006.044943820225,79
2point,5970.044943820225,80
2point,6031.247191011236,81
2point,6031.247191011236,82
2point,6031.247191011236,83
2point,6031.247191011236,84
2point,6031.247191011236,85
2point,6031.247191011236,86
2point,6172.685393258427,87
2point,6172.685393258427,88
2point,6172.685393258427,89
2point,6172.685393258427,90
2point,6172.685393258427,91
2point,6172.685393258427,92
2point,6172.685393258427,93
2point,6172.685393258427,94
2point,6031.247191011236,95
2point,6073.966292134832,96
2point,6193.685393258427,97
2point,6193.685393258427,98
2point,6193.685393258427,99
2point,6193.685393258427,100
2point,6193.685393258427,101
